Distributed environment: NO
Num processes: 1
Process index: 0
Local process index: 0
Device: cuda
Mixed precision type: no

Sample 335243 of the training set: {'input_ids': [101, 192, 223, 1501, 1669, 2579, 1200, 6153, 7677, 175, 177, 7675, 2351, 2273, 1505, 4395, 4334, 309, 241, 6657, 201, 4456, 6576, 179, 176, 179, 102, 6608, 223, 1501, 1669, 891, 2798, 2273, 2051, 6322, 3429, 2285, 179, 102], 'attention_mask': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'labels': 0}.
Sample 58369 of the training set: {'input_ids': [101, 405, 2878, 192, 223, 362, 6317, 6362, 7675, 362, 6153, 6131, 4334, 841, 899, 306, 3926, 179, 102, 405, 2878, 192, 223, 3252, 861, 4334, 841, 899, 306, 3926, 179, 102], 'attention_mask': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'labels': 2}.
Sample 13112 of the training set: {'input_ids': [101, 546, 192, 286, 3385, 2878, 878, 6498, 3242, 6028, 2699, 5218, 4334, 4190, 306, 192, 3022, 7675, 7045, 5557, 2736, 7160, 1960, 1758, 6739, 829, 694, 2714, 1656, 179, 102, 878, 6498, 3242, 6028, 2699, 5218, 4334, 306, 6548, 1960, 201, 1758, 6739, 829, 694, 2714, 1656, 179, 102], 'attention_mask': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'labels': 0}.
***** Running training *****
  Num examples = 391783
  Num Epochs = 10
  Instantaneous batch size per device = 32
  Total train batch size (w. parallel, distributed & accumulation) = 32
  Gradient Accumulation steps = 1
  Total optimization steps = 122440
completed_steps 50 - loss: 1.19680786
completed_steps 100 - loss: 0.95714688
completed_steps 150 - loss: 0.82968521
completed_steps 200 - loss: 0.92313164
completed_steps 250 - loss: 0.93852741
completed_steps 300 - loss: 0.60120356
completed_steps 350 - loss: 0.95842814
completed_steps 400 - loss: 0.61969352
completed_steps 450 - loss: 0.56082743
completed_steps 500 - loss: 0.62489790
completed_steps 550 - loss: 0.53011435
completed_steps 600 - loss: 0.79219592
completed_steps 650 - loss: 0.66656518
completed_steps 700 - loss: 0.76295692
completed_steps 750 - loss: 0.59992450
completed_steps 800 - loss: 0.69576085
completed_steps 850 - loss: 0.61011207
completed_steps 900 - loss: 0.44508976
completed_steps 950 - loss: 0.54632849
completed_steps 1000 - loss: 0.60112751
completed_steps 1050 - loss: 0.80500168
completed_steps 1100 - loss: 0.62328953
completed_steps 1150 - loss: 0.63025665
completed_steps 1200 - loss: 0.71604002
completed_steps 1250 - loss: 0.67992967
completed_steps 1300 - loss: 0.58010596
completed_steps 1350 - loss: 0.37538612
completed_steps 1400 - loss: 0.54560792
completed_steps 1450 - loss: 0.65654737
completed_steps 1500 - loss: 0.49276447
completed_steps 1550 - loss: 0.57046813
completed_steps 1600 - loss: 0.59954214
completed_steps 1650 - loss: 0.68544662
completed_steps 1700 - loss: 0.54327059
completed_steps 1750 - loss: 0.64810151
completed_steps 1800 - loss: 0.84170985
completed_steps 1850 - loss: 0.70381117
completed_steps 1900 - loss: 0.47327584
completed_steps 1950 - loss: 0.70311379
completed_steps 2000 - loss: 0.58783686
completed_steps 2050 - loss: 0.57654411
completed_steps 2100 - loss: 0.68992692
completed_steps 2150 - loss: 0.96491289
completed_steps 2200 - loss: 0.36200964
completed_steps 2250 - loss: 0.74814153
completed_steps 2300 - loss: 0.58096731
completed_steps 2350 - loss: 0.75228840
completed_steps 2400 - loss: 0.37259635
completed_steps 2450 - loss: 0.66908354
completed_steps 2500 - loss: 0.67950761
completed_steps 2550 - loss: 0.63398409
completed_steps 2600 - loss: 0.75012362
