Distributed environment: NO
Num processes: 1
Process index: 0
Local process index: 0
Device: cuda
Mixed precision type: no

Sample 41905 of the training set: {'input_ids': [101, 199, 3506, 192, 4935, 1917, 6283, 117, 687, 306, 192, 223, 2877, 1761, 7692, 2921, 566, 6810, 117, 896, 2808, 1715, 3284, 2877, 1776, 6018, 1761, 8268, 1461, 566, 102, 2808, 1715, 852, 2878, 1917, 6283, 6018, 3289, 593, 326, 306, 390, 179, 102], 'attention_mask': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'labels': 2}.
Sample 7296 of the training set: {'input_ids': [101, 3567, 582, 2037, 1800, 7264, 1028, 5537, 1028, 1685, 583, 206, 7209, 2709, 3403, 117, 520, 583, 1977, 220, 3026, 2395, 5931, 294, 1028, 6255, 6741, 1685, 583, 2998, 635, 102, 201, 2709, 3403, 7264, 1028, 5537, 1028, 1685, 583, 102], 'attention_mask': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'labels': 2}.
Sample 1639 of the training set: {'input_ids': [101, 1459, 7163, 4334, 209, 4200, 4967, 1976, 1278, 6509, 5931, 6040, 727, 383, 4334, 117, 6252, 199, 7041, 2921, 4334, 306, 117, 449, 2921, 691, 6612, 3052, 6507, 3022, 4334, 1285, 2739, 102, 4573, 362, 4720, 272, 4334, 1473, 6252, 5152, 362, 4626, 2037, 6612, 3052, 102], 'attention_mask': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'labels': 2}.
***** Running training *****
  Num examples = 50437
  Num Epochs = 10
  Instantaneous batch size per device = 32
  Total train batch size (w. parallel, distributed & accumulation) = 32
  Gradient Accumulation steps = 1
  Total optimization steps = 15770
completed_steps 50 - loss: 1.08218265
completed_steps 100 - loss: 1.13857996
completed_steps 150 - loss: 1.05447853
completed_steps 200 - loss: 1.02720463
completed_steps 250 - loss: 0.97316080
completed_steps 300 - loss: 0.63704425
completed_steps 350 - loss: 0.81136817
completed_steps 400 - loss: 0.71161091
completed_steps 450 - loss: 0.61166859
completed_steps 500 - loss: 0.91144758
completed_steps 550 - loss: 0.55880392
completed_steps 600 - loss: 0.73283929
completed_steps 650 - loss: 0.47136554
completed_steps 700 - loss: 0.85466129
completed_steps 750 - loss: 0.71880656
completed_steps 800 - loss: 0.92177314
completed_steps 850 - loss: 0.70476234
completed_steps 900 - loss: 0.60354418
completed_steps 950 - loss: 0.55951738
completed_steps 1000 - loss: 0.77311462
completed_steps 1050 - loss: 0.38620645
completed_steps 1100 - loss: 0.54673588
completed_steps 1150 - loss: 0.66018808
completed_steps 1200 - loss: 0.65033239
completed_steps 1250 - loss: 0.59054345
completed_steps 1300 - loss: 0.61085290
completed_steps 1350 - loss: 0.95492947
completed_steps 1400 - loss: 0.67058307
completed_steps 1450 - loss: 0.61166567
completed_steps 1500 - loss: 0.84582442
completed_steps 1550 - loss: 0.77675366
epoch 0: {'accuracy': 0.7440677966101695}
completed_steps 1600 - loss: 0.51475143
completed_steps 1650 - loss: 0.60155845
completed_steps 1700 - loss: 0.36524427
completed_steps 1750 - loss: 0.51869476
completed_steps 1800 - loss: 0.46502864
completed_steps 1850 - loss: 0.32843244
completed_steps 1900 - loss: 0.51424205
completed_steps 1950 - loss: 0.53094184
completed_steps 2000 - loss: 0.47768164
completed_steps 2050 - loss: 0.55777448
completed_steps 2100 - loss: 0.45000488
completed_steps 2150 - loss: 0.47528002
completed_steps 2200 - loss: 0.38649976
completed_steps 2250 - loss: 0.52694887
completed_steps 2300 - loss: 0.55363822
completed_steps 2350 - loss: 0.53336370
completed_steps 2400 - loss: 0.44572297
completed_steps 2450 - loss: 0.51303834
completed_steps 2500 - loss: 0.50778013
completed_steps 2550 - loss: 0.40621313
completed_steps 2600 - loss: 0.76125193
completed_steps 2650 - loss: 0.56998235
completed_steps 2700 - loss: 0.63873798
completed_steps 2750 - loss: 0.32355431
completed_steps 2800 - loss: 0.51085049
