Distributed environment: NO
Num processes: 1
Process index: 0
Local process index: 0
Device: cuda
Mixed precision type: no

Sample 41905 of the training set: {'input_ids': [101, 2782, 2790, 340, 994, 2829, 6548, 306, 1278, 4176, 3472, 198, 4334, 792, 687, 2798, 309, 241, 7679, 2782, 2790, 340, 5261, 5891, 582, 2829, 6548, 306, 4334, 4176, 3472, 928, 7679, 102], 'token_type_ids': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'attention_mask': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'labels': 2}.
Sample 7296 of the training set: {'input_ids': [101, 7065, 270, 7210, 226, 7675, 2893, 2921, 2375, 2878, 4334, 2148, 6544, 585, 904, 6657, 1756, 484, 6987, 7679, 102], 'token_type_ids': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'attention_mask': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'labels': 4}.
Sample 1639 of the training set: {'input_ids': [101, 829, 2008, 2186, 4080, 5557, 6520, 232, 309, 241, 1776, 6994, 6175, 225, 3287, 3037, 175, 6213, 6250, 176, 451, 5083, 2736, 7679, 102], 'token_type_ids': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 'attention_mask': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'labels': 11}.
***** Running training *****
  Num examples = 53360
  Num Epochs = 10
  Instantaneous batch size per device = 32
  Total train batch size (w. parallel, distributed & accumulation) = 32
  Gradient Accumulation steps = 1
  Total optimization steps = 16680
completed_steps 50 - loss: 1.98029029
completed_steps 100 - loss: 1.74407482
completed_steps 150 - loss: 1.78495252
completed_steps 200 - loss: 1.67423797
completed_steps 250 - loss: 1.39744139
completed_steps 300 - loss: 1.37697244
completed_steps 350 - loss: 1.23335826
completed_steps 400 - loss: 1.31528246
completed_steps 450 - loss: 0.81451613
completed_steps 500 - loss: 1.21195364
completed_steps 550 - loss: 1.08573842
completed_steps 600 - loss: 1.08062780
completed_steps 650 - loss: 1.49168777
completed_steps 700 - loss: 1.58733296
completed_steps 750 - loss: 1.05200362
completed_steps 800 - loss: 1.30316615
completed_steps 850 - loss: 1.28984690
completed_steps 900 - loss: 1.18185115
completed_steps 950 - loss: 1.36128569
completed_steps 1000 - loss: 0.94290197
completed_steps 1050 - loss: 1.43817818
completed_steps 1100 - loss: 1.12152743
completed_steps 1150 - loss: 1.18383920
completed_steps 1200 - loss: 1.03190660
completed_steps 1250 - loss: 1.31316817
completed_steps 1300 - loss: 1.26279616
completed_steps 1350 - loss: 1.16069567
completed_steps 1400 - loss: 0.95533198
completed_steps 1450 - loss: 1.48274338
completed_steps 1500 - loss: 1.44989789
completed_steps 1550 - loss: 1.45544493
completed_steps 1600 - loss: 0.76524758
completed_steps 1650 - loss: 0.94919741
epoch 0: {'accuracy': 0.5675}
completed_steps 1700 - loss: 1.13066852
completed_steps 1750 - loss: 1.14899457
completed_steps 1800 - loss: 1.42045951
completed_steps 1850 - loss: 1.12787497
completed_steps 1900 - loss: 1.02264094
completed_steps 1950 - loss: 1.03080189
completed_steps 2000 - loss: 1.07137883
completed_steps 2050 - loss: 0.76609981
completed_steps 2100 - loss: 1.17598867
completed_steps 2150 - loss: 0.95431727
completed_steps 2200 - loss: 1.07184815
completed_steps 2250 - loss: 1.24074841
completed_steps 2300 - loss: 1.24540997
completed_steps 2350 - loss: 1.30321193
completed_steps 2400 - loss: 1.25349462
completed_steps 2450 - loss: 0.61329287
completed_steps 2500 - loss: 1.44883597
completed_steps 2550 - loss: 0.56258953
